code,name,year,month,temp_min
HND.1111421,Choluteca,1950,04,15.68
HND.1111422,Colon,1950,04,57.62
HND.1111423,Comayagua,1950,04,38.19
HND.1111424,Copan,1950,04,70.94
HND.1111425,Cortes,1950,04,66.77
HND.1111426,Francisco Morazan,1950,04,24.77
HND.1111427,Gracias A Dios,1950,04,56.84
HND.1111428,Intibuca,1950,04,39.9
HND.1111429,Islas De Bahia,1950,04,36.05
HND.1111430,La Paz,1950,04,40.61
HND.1111431,Lempira,1950,04,33.81
HND.1111432,Name Unknown,1950,04,27.14
HND.1111433,Ocotepeque,1950,04,42.96
HND.1111434,Olancho,1950,04,31.92
HND.1111435,Paraiso,1950,04,23.39
HND.1111436,Santa Barbara,1950,04,65.01
HND.1111437,Valle,1950,04,14.06
HND.1111438,Yoro,1950,04,48.57
NIC.1801,Boaco,1950,04,15.5
NIC.18010,Managua,1950,04,5.43
NIC.18011,Masaya,1950,04,11.35
NIC.18012,Matagalpa,1950,04,18.91
NIC.18013,Nueva Segovia,1950,04,27.54
NIC.18014,Región Autónoma del Caribe Norte,1950,04,45.68
NIC.18015,Región Autónoma del Caribe Sur,1950,04,50.01
NIC.18016,Río San Juan,1950,04,49.59
NIC.18017,Rivas,1950,04,15.51
NIC.1802,Carazo,1950,04,7.45
NIC.1803,Chinandega,1950,04,11.35
NIC.1804,Chontales,1950,04,16.25
NIC.1805,Estelí,1950,04,18.13
NIC.1806,Granada,1950,04,9.99
NIC.1807,Jinotega,1950,04,33.29
NIC.1808,León,1950,04,9.29
NIC.1809,Madriz,1950,04,20.82
PAN.1911,Bocas del Toro,1950,04,132.6
PAN.19110,Ngäbe Buglé,1950,04,131.76
PAN.19111,Panamá,1950,04,143.21
PAN.19112,Panamá Oeste,1950,04,82.83
PAN.19113,Veraguas,1950,04,139.16
PAN.1912,Chiriquí,1950,04,157.7
PAN.1913,Coclé,1950,04,80.45
PAN.1914,Colón,1950,04,147.86
PAN.1915,Darién,1950,04,225.76
PAN.1916,Emberá,1950,04,253.39
PAN.1917,Herrera,1950,04,125.31
PAN.1918,Kuna Yala,1950,04,199.44
PAN.1919,Los Santos,1950,04,181.62
SLV.751184,Ahuachapan,1950,04,21.54
SLV.751185,Cabanas,1950,04,23.46
SLV.751186,Chalatenango,1950,04,16.14
SLV.751187,Cuscatlan,1950,04,28.56
SLV.751188,La Libertad,1950,04,23.85
SLV.751189,La Paz,1950,04,38.97
SLV.751190,La Union,1950,04,14.56
SLV.751191,Morazan,1950,04,33.83
SLV.751192,San Miguel,1950,04,17.46
SLV.751193,San Salvador,1950,04,25.23
SLV.751194,San Vicente,1950,04,37.74
SLV.751195,Santa Ana,1950,04,13.12
SLV.751196,Sonsonate,1950,04,30.6
SLV.751197,Usulutan,1950,04,21.72
BLZ.28603,Belize,1950,05,55.42
BLZ.28604,Cayo,1950,05,72.52
BLZ.28605,Corozal,1950,05,51.9
BLZ.28606,Orange Walk,1950,05,50.14
BLZ.28607,Stann Creek,1950,05,101.09
BLZ.28608,Toledo,1950,05,102.69
CRI.61981,Alajuela,1950,05,228.53
CRI.61982,Cartago,1950,05,342.42
CRI.61983,Guanacaste,1950,05,205.81
CRI.61984,Heredia,1950,05,283.34
CRI.61985,Limon,1950,05,356.83
CRI.61986,Puntarenas,1950,05,526.99
CRI.61987,San Jose,1950,05,645.35
GTM.10364821,Guatemala,1950,05,175.17
