code,name,year,month,temp_max,temp_min
HND.1111420,Atlantida,1950,03,27.38,20.12
HND.1111421,Choluteca,1950,03,32.95,21.44
HND.1111422,Colon,1950,03,28.04,19.3
HND.1111423,Comayagua,1950,03,27.12,16.08
HND.1111424,Copan,1950,03,25.35,16.69
HND.1111425,Cortes,1950,03,28.25,19.84
HND.1111426,Francisco Morazan,1950,03,28.61,16.37
HND.1111427,Gracias A Dios,1950,03,27.79,20.84
HND.1111428,Intibuca,1950,03,26.4,15.63
HND.1111429,Islas De Bahia,1950,03,26.4,25.12
HND.1111430,La Paz,1950,03,28.32,16.6
HND.1111431,Lempira,1950,03,26.77,16.24
HND.1111432,Name Unknown,1950,03,25.87,24.87
HND.1111433,Ocotepeque,1950,03,24.89,15.27
HND.1111434,Olancho,1950,03,27.61,17.14
HND.1111435,Paraiso,1950,03,28.64,17.02
HND.1111436,Santa Barbara,1950,03,27.11,17.94
HND.1111437,Valle,1950,03,32.47,22.95
HND.1111438,Yoro,1950,03,28.38,17.13
NIC.1801,Boaco,1950,03,30.04,20.19
NIC.18010,Managua,1950,03,33.77,22.62
NIC.18011,Masaya,1950,03,32.12,21.81
NIC.18012,Matagalpa,1950,03,29.1,18.94
NIC.18013,Nueva Segovia,1950,03,27.95,17.26
NIC.18014,Región Autónoma del Caribe Norte,1950,03,28.41,20.53
NIC.18015,Región Autónoma del Caribe Sur,1950,03,28.67,21.24
NIC.18016,Río San Juan,1950,03,29.26,21.61
NIC.18017,Rivas,1950,03,28.05,23.48
NIC.1802,Carazo,1950,03,32.53,22.83
NIC.1803,Chinandega,1950,03,34.14,23.42
NIC.1804,Chontales,1950,03,29.84,21.06
NIC.1805,Estelí,1950,03,29.82,18.09
NIC.1806,Granada,1950,03,31.02,22.46
NIC.1807,Jinotega,1950,03,27.09,17.87
NIC.1808,León,1950,03,33.76,22.49
NIC.1809,Madriz,1950,03,29.42,17.69
PAN.1911,Bocas del Toro,1950,03,24.19,18.01
PAN.19110,Ngäbe Buglé,1950,03,26.24,19.58
PAN.19111,Panamá,1950,03,28.2,22.9
PAN.19112,Panamá Oeste,1950,03,29.09,22.75
PAN.19113,Veraguas,1950,03,29.73,22.35
PAN.1912,Chiriquí,1950,03,28.26,20.69
PAN.1913,Coclé,1950,03,28.79,22.08
PAN.1914,Colón,1950,03,27.39,22.79
PAN.1915,Darién,1950,03,28.17,22.12
PAN.1916,Emberá,1950,03,28.07,21.73
PAN.1917,Herrera,1950,03,32.32,22.42
PAN.1918,Kuna Yala,1950,03,27.25,23.32
PAN.1919,Los Santos,1950,03,30.8,22.7
SLV.751184,Ahuachapan,1950,03,28.49,20.59
SLV.751185,Cabanas,1950,03,31.84,20.57
SLV.751186,Chalatenango,1950,03,29.94,19.32
SLV.751187,Cuscatlan,1950,03,31.21,20.28
SLV.751188,La Libertad,1950,03,29.73,20.96
SLV.751189,La Paz,1950,03,29.17,22.52
SLV.751190,La Union,1950,03,32.09,22.53
SLV.751191,Morazan,1950,03,31.69,20.01
SLV.751192,San Miguel,1950,03,32.8,22.15
SLV.751193,San Salvador,1950,03,30.68,20.72
SLV.751194,San Vicente,1950,03,31.94,21.17
SLV.751195,Santa Ana,1950,03,29.46,18.75
SLV.751196,Sonsonate,1950,03,28.74,20.96
SLV.751197,Usulutan,1950,03,32.03,22.89
BLZ.28603,Belize,1950,04,28.09,22.61
BLZ.28604,Cayo,1950,04,28.19,19.2
BLZ.28605,Corozal,1950,04,28.84,22.2
BLZ.28606,Orange Walk,1950,04,30.21,20.41
